event,label,denom,n_no,n_yes,mean_no,mean_yes,ci_no_lo,ci_no_hi,ci_yes_lo,ci_yes_hi,diff,diff_se,welch_t,welch_p,cohen_d,hedges_g,sex_stratum
had_new_child,Had a new child (2014→2020),all,6459,1301,-0.021117175001290192,-0.004787983602357161,-0.02610803078391908,-0.016594819244465087,-0.015325150525236997,0.004504547783756081,0.016329191398933032,0.005779035988417034,2.8255908825731066,0.0047676010176751545,-0.08231166439409719,-0.08230370670684307,male
entered_marriage,Entered marriage,all,7386,374,-0.017567018683996752,-0.03442513368983957,-0.022337939457532267,-0.01326206956855312,-0.05665524732620321,-0.014204545454545454,-0.01685811500584282,0.01100860211713256,-1.5313583710693595,0.12645603121318047,0.08495175426146649,0.0849435413368819,male
divorced,Got divorced,all,7601,159,-0.01835833004429242,-0.01939203354297694,-0.02288514669122484,-0.014054414441082312,-0.052283149895178196,0.013253406708595369,-0.0010337034986845212,0.01573914554774697,-0.06567723105098891,0.947714392166672,0.005208198750850847,0.005207695235132611,male
widowed,Lost spouse to death,all,7641,119,-0.018324935654146488,-0.02188375350140056,-0.022703861841818263,-0.013882413405749685,-0.054280462184873944,0.01263130252100838,-0.0035588178472540713,0.018225448620663852,-0.1952664058551138,0.8455098918931445,0.017930741887748673,0.01792900838816235,male
lost_job,Lost / left job (1→0),all,5821,38,-0.017458340491324515,0.004934210526315789,-0.02212204017064651,-0.012045735984653269,-0.05263157894736842,0.06747532894736838,0.022392551017640303,0.030965954911199432,0.7231345224733117,0.47408201688377916,-0.11425461723678283,-0.11423998609102322,male
entered_work,Entered work (0→1),all,5797,62,-0.01719639468690702,-0.028225806451612902,-0.022378403340808463,-0.012117797998964982,-0.09173387096774194,0.03931451612903226,-0.011029411764705881,0.03391610480828283,-0.3251968888246958,0.7461321946193799,0.05627447721324442,0.056267270851711154,male
had_new_child,Had a new child (2014→2020),at_risk,5650,89,-0.02192477876106195,-0.022237827715355808,-0.026823561946902656,-0.01654830383480826,-0.05758426966292135,0.013126170411985001,-0.000313048954293859,0.019042731711775267,-0.016439288177351255,0.9869196898720678,0.0015545582762178417,0.0015543550394187546,male
entered_marriage,Entered marriage,at_risk,809,374,-0.05207045735475896,-0.03442513368983957,-0.06755060259579729,-0.037288190152451585,-0.05665524732620321,-0.014204545454545454,0.017645323664919388,0.013217736899584932,1.3349731348846483,0.1822861178379146,-0.08205179343547343,-0.08199967499797473,male
divorced,Got divorced,at_risk,6218,134,-0.01356612522783317,-0.021610696517412938,-0.01820026870912405,-0.00899120161895572,-0.051776274875621885,0.009798662935323381,-0.008044571289579767,0.016563667596420664,-0.48567572626959526,0.6279613957386116,0.041471024638814635,0.04146612629344999,male
widowed,Lost spouse to death,at_risk,6241,111,-0.013773166693371789,-0.011636636636636635,-0.0185952771991668,-0.008738249746301342,-0.04598817567567568,0.021616929429429402,0.002136530056735154,0.017905441591590902,0.11932294692684667,0.9052290435906305,-0.01101396281400795,-0.011012661901041217,male
lost_job,Lost / left job (1→0),at_risk,5756,38,-0.017318884642112578,0.004934210526315789,-0.02240587720060227,-0.012392503474635162,-0.05263157894736842,0.06747532894736838,0.02225309516842837,0.030966211517834477,0.7186250457409705,0.4768241697535436,-0.11404235703155857,-0.11402758916903452,male
entered_work,Entered work (0→1),at_risk,3,62,-0.0625,-0.028225806451612902,-0.25,0.1875,-0.09173387096774194,0.03931451612903226,0.034274193548387094,0.13442774299634178,0.25496369115800604,0.8199496224555718,-0.12929286250432606,-0.12774752948634607,male
